record_from,record_to,cos_distance
1,2,[[0.94064586]]
1,3,[[0.33521402]]
1,4,[[0.36394833]]
1,5,[[0.37800087]]
1,6,[[0.32012737]]
1,7,[[0.36574511]]
1,8,[[0.34020745]]
1,14,[[0.37795013]]
1,15,[[0.37174076]]
1,16,[[0.38510386]]
1,17,[[0.35433459]]
1,18,[[0.37591106]]
1,19,[[0.29220043]]
1,20,[[0.2350072]]
1,21,[[0.30562672]]
1,22,[[0.2570484]]
1,28,[[0.34059344]]
1,29,[[0.35807813]]
1,31,[[0.3333946]]
1,32,[[0.32543186]]
1,33,[[0.35794895]]
1,34,[[0.3533418]]
1,37,[[0.29846835]]
1,38,[[0.24172669]]
1,39,[[0.27347202]]
1,40,[[0.81603533]]
1,41,[[0.92442589]]
1,42,[[0.93909099]]
1,46,[[0.29594337]]
1,47,[[0.28734519]]
1,48,[[0.29611036]]
1,49,[[0.29935817]]
1,50,[[0.24559646]]
1,56,[[0.283172]]
1,57,[[0.24207455]]
1,58,[[0.33278786]]
1,69,[[0.34805819]]
1,70,[[0.34256981]]
1,71,[[0.30328369]]
1,72,[[0.38980947]]
1,73,[[0.37918577]]
1,74,[[0.32507199]]
1,75,[[0.4019852]]
1,87,[[0.25293853]]
1,88,[[0.25945239]]
1,89,[[0.26027078]]
1,90,[[0.16652219]]
1,91,[[0.24506008]]
1,95,[[0.31819882]]
1,96,[[0.38051359]]
1,97,[[0.37243502]]
1,98,[[0.35592542]]
1,99,[[0.3676492]]
2,3,[[0.37096722]]
2,4,[[0.36383925]]
2,5,[[0.40821964]]
2,6,[[0.32503353]]
2,7,[[0.38234323]]
2,8,[[0.36310395]]
2,14,[[0.34636621]]
2,15,[[0.32579771]]
2,16,[[0.34500616]]
2,17,[[0.31096872]]
2,18,[[0.39421131]]
2,19,[[0.31734835]]
2,20,[[0.24851731]]
2,21,[[0.32711089]]
2,22,[[0.32704138]]
2,28,[[0.38685753]]
2,29,[[0.43097678]]
2,31,[[0.31271549]]
2,32,[[0.31421038]]
2,33,[[0.33816498]]
2,34,[[0.34448559]]
2,37,[[0.39501937]]
2,38,[[0.31769266]]
2,39,[[0.34577035]]
2,40,[[0.89658563]]
