record_from,record_to,distance
1,2,[[0.94064586]]
2,41,[[0.98567952]]
3,4,[[0.92292654]]
4,72,[[0.47850558]]
5,7,[[0.97824104]]
6,8,[[0.90695229]]
7,8,[[0.90385702]]
8,33,[[0.50213351]]
14,16,[[0.9820833]]
15,16,[[0.80668484]]
16,17,[[0.98224691]]
17,18,[[0.88396694]]
18,40,[[0.45999607]]
19,20,[[0.98036988]]
20,21,[[0.91205265]]
21,22,[[0.83143411]]
22,75,[[0.50284814]]
28,74,[[0.93728354]]
29,74,[[0.97856992]]
31,34,[[0.92996029]]
32,34,[[0.98678602]]
33,34,[[0.98144936]]
34,98,[[0.4570289]]
37,39,[[0.98023035]]
38,39,[[0.93237811]]
39,72,[[0.47290071]]
40,42,[[0.89832562]]
41,42,[[0.97659137]]
42,75,[[0.41823092]]
46,49,[[0.9140638]]
47,48,[[0.97846209]]
48,49,[[0.98574496]]
49,50,[[0.96869836]]
50,70,[[0.46156171]]
56,57,[[0.98025972]]
57,58,[[0.89886243]]
58,98,[[0.51359878]]
69,73,[[0.98650979]]
70,73,[[0.97333007]]
71,73,[[0.90233639]]
72,73,[[0.96561723]]
73,74,[[0.44335376]]
74,75,[[0.94004431]]
75,95,[[0.4589072]]
87,91,[[0.97756242]]
88,91,[[0.97197689]]
89,91,[[0.88481726]]
90,91,[[0.890192]]
91,98,[[0.02320143]]
95,98,[[0.92197274]]
96,98,[[0.9870982]]
97,99,[[0.98314694]]
98,99,[[0.98633123]]
