id,name,sponsor,event,venue,place,physical_description,notes,occasion,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status
31428,,[Restaurant Name And/Or Location Not Given],,,,16x10cm,,,1933-0336_wotm,,,1933-08-04,[Restaurant Name And/Or Location Not Given],,,,complete
26580,,Le Vert Galant,Daily menu,"FOREIGN,RESTAURANT","resturant, Le Vert Galant, France","Folder, paper, 9.75 x 12.25 inches",dieter zander collection; colored illustrations on front and back covers,,Zander 640,,,1951-05-01,Le Vert Galant,,Francs,FF,complete
27410,,RED STAR LINE,DINNER,SS; FOR,ON BOARD THE SS VADERLAND,CARD; ILLUS; COL; 5.5 X 8,illus of sailboat and steamship;  artist is h. cassiers; designed to be used as postcard;   in english; postal rates for various ports given,OTHER (DAILY MENU),1910-814,,,1910-03-13,Red Star Line,,,,complete
25881,,AMERICAN ASIATIC ASSOCIATION,"DINNER FOR REAR ADMIRAL LORD CHARLES BERESFORD,R.N.C.B.M.P.",POL;,"DELMONICO'S,NY",BOOKLET;ILL;COL;5.5X8.5;,toasts;seating plan attached;,COMPLIMENTARY/TESTIMONIAL,1899-211,,,1899-02-23,American Asiatic Association,,,,complete
24849,,KING OF SIAM,DINNER,SOC;,"TAPLOW COURT, LONDON, ENGLAND",CARD; COLOR; 3.75 X 5.75;,note by fnb states that dinner was held at taplow court which was rented from wm. grenfell and that taplow is on the thames 15 miles above london; printed in red with gold crest; french;,OTHER (SOC);,1897-248,,,1897-08-15,King Of Siam,,,,complete
20319,,NIPPON YUSEN KAISHA,[DINNER],COMMERCIAL,ABOARD SS KAMAKURA MARU;,BROADSHEET; ILLUS; COL; 10.5X9.5;,"hand written; illus, mount fuji in background; small boat, boatman with pole, horse, 7 passengers on lake; reverse side, map of indian ocean showing the steamer tracks of the nippon yusen kaisha;",,1900-4152,,,1900-08-24,Nippon Yusen Kaisha,,,,complete
15608,,,,,,,,,,,,1900-04-01,Consulate Of The United States Of America,,,,under review
20905,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KOBE MARU,BROADSIDE; 5.5 X 7.75;,handwritten; red border;,,1900-4489,,,1900-09-26,Nippon Yusen Kaisha,,,,complete
27209,,American Chemical Society,dinner,HOTEL,Waldorf-Astoria,6 1/2 x 4 1/2 in. ; 4 p.,"event : banquet of the american chemical industries tercentenary."" includes event program and list of guests of honor.","OTHER,Annual Meeting",Soete 41,,,1935-04-24,American Chemical Society,,,,complete
20793,,NORDDEUTSCHER LLOYD - BREMEN,DINNER,COMMERCIAL,EN ROUTE - S.S.BARBAROSSA,CARD; ILLUS; COL; 5.25 X 8.25;,menu in both german & english;,,1901-1089,,,1901-04-30,Norddeutscher Lloyd   Bremen,,,,complete
21092,,HOTEL COLONIAL,LUNCHEON,COMMERCIAL,"NASSAU, THE BAHAMAS",CARD; 4 X 7.5;,logo;,,1901-198,,,1901-01-28,Hotel Colonial,,,,complete
20360,,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,SS FURST BISMARCK,CARD;ILLUS;COL;5X8;,ship at sea;woman holding shield among food and implements;cityscape in background;menu in german;,DAILY;,1901-1752,,,1901-06-23,Hamburg Amerika Linie,,,,complete
