ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,,,,,birmingham,al,,,,acute care hospitals,voluntary non-profit - private,yes,,scip-card-2,,,,al_scip-card-2
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233,,,,voluntary non-profit - private,,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,al_scip-inf-1
,,,,,birmingham,al,35233,jefferson,,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-inf-2,,,,
10018,callahan eye foundation hospital,,,,birminghxm,al,35233,jefferson,2053258100,acute care hospitals,,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,
,,1720 university blvd,,,,,35233,jefferson,2053258100,,,yes,surgical infection prevention,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,
,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,,jefferson,,acute care hospitals,,,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,,35233,jefferson,2053258100,,voluntary non-profit - private,,,scip-vte-1,,,,al_scip-vte-1
10018,callahan eye foundation hospital,,,,birmingxam,al,,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,,,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660,,2563864556,acute care hospitals,government - hospital district or authority,yes,,ami-1,heart attack patients given aspirin at arrival,97%,,
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660,jefferson,2563864556,,,,,ami-2,heart attack patients given aspirin at discharge,,13 patients,al_ami-2
,helen keller memorial hospital,1300 south montgomery avenue,,,,,35660,,2563864556,acute care hospitals,government - hospital district or authority,,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,4 patients,al_ami-3
,helen keller memorial hospital,,,,sheffield,al,,,2563864556,,,yes,heart attack,,heart attack patients given smoking cessation advice/counseling,100%,,al_ami-4
,helen keller memorial hospital,1300 south montgomery avenue,,,,al,35660,,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,,heart attack patients given beta blocker at discharge,86%,,
,helen keller memorial hospital,,,,sheffield,al,,,,,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
10019,helen keller memorial hospital,1300 south montgomery avenue,,,,al,35660,,,,government - hospital district or authority,yes,,,heart attack patients given pci within 90 minutes of arrival,,,al_ami-8a
,,,,,,al,35660,,2563864556,acute care hospitals,,yes,heart failure,,heart failure patients given discharge instructions,,,
10019,,,,,sheffield,al,35660,jefferson,2563864556,,government - hospital district or authority,yes,heart failure,,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 patients,
10019,helen keller memorial hospital,,,,sheffield,,,jefferson,2563864556,acute care hospitals,,yes,heart failure,,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,3x patients,
10019,,,,,sheffield,al,35660,,,acute care hospitals,government - hospital district or authority,yes,,hf-4,heart failure patients given smoking cessation advice/counseling,100%,,
10001,southeast alabama medical center,,,,,,,houston,,acute care hospitals,government - hospital district or authority,,heart attack,ami-1,heart attack patients given aspirin at arrival,,270 patients,al_ami-1
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36302,houston,,acute care hospitals,government - hospital district or authority,yes,,ami-2,,99%,516 patients,al_ami-2
10001,southeast alabama medical center,,,,dothan,al,36302,houston,3347938701,acute care hospitals,,yes,heart attaxk,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,,al_ami-3
10001,southeast alabama medical center,,,,dothan,,,houston,3347938701,acute care hospitals,,,hearx axxack,,,100%,244 patients,
10001,southeast alabama medical center,,,,dothan,,36302,,,acute care hospitals,government - hospital district or authority,,,ami-5,heart attack patients given beta blocker at discharge,99%,441 patients,
10001,southeast alabama medical center,,,,dothan,al,,houston,334793870x,,government - hospital district or authority,yxs,,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,
