,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
0,10018.0,callahan eye foundation hospital,,,,birmingham,al,35233.0,,,,voluntary non-profit - private,,,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,al_scip-card-2
1,,callahan eye foundation hospital,,,,birmingham,al,,jefferson,2053258100.0,,,yes,,scip-inf-1,,,,al_scip-inf-1
2,10019.0,helen keller memorial hospital,,,,sheffield,,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,
3,,,702 n main st,,,,,36467.0,covington,3344933541.0,acute care hospitals,,no,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,
4,10007.0,mizell memorial hospital,702 n main st,,,,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,heart failure,,,98%,,al_hf-1
5,10007.0,,702 n main st,,,opp,,,,3344933541.0,acute care hospitals,voluntary non-profit - private,,,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,76 patients,
6,10007.0,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,,voluntary non-profit - private,no,heart failure,,,64%,,al_hf-3
7,10007.0,,702 n main st,,,,,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,,hf-4,heart failure patients given smoking cessation advice/counseling,100%,,al_hf-4
8,10007.0,mizell memorial hospital,,,,,al,36467.0,covington,,acute care hospitals,voluntary non-profit - private,,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,85 patients,
9,,mizell memorial hospital,,,,,,,covington,,,voluntary non-profit - private,,,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,,64 patients,al_pn-3b
10,10007.0,mizell memorial hospital,702 n main st,,,,al,36467.0,covington,,,,,pneumonia,,pneumonia patients given smoking cessation advice/counseling,100%,28 patients,al_pn-4
11,10007.0,mizell memorial hospital,,,,opp,al,36467.0,covington,,,voluntary non-profit - private,,,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,87 patients,al_pn-5c
12,10007.0,,702 n main st,,,,al,36467.0,covington,3344933541.0,,voluntary non-profit - private,,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),,,
13,,,1300 south montgomery avenue,,,sheffield,al,35660.0,jefferson,2563864556.0,,,,,ami-4,heart attack patients given smoking cessation advice/counseling,,4 patients,
14,10007.0,mizell memorial hospital,702 n main st,,,,,,covington,3344933541.0,,voluntary non-profit - private,,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,90%,,al_pn-7
