ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
,callahan eye foundation hospital,1720 university blvd,,,fort payne,ax,,,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,,,al_scip-card-2
10018,callahan eye foundation hospital,1720 university blvd,,,,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heartxattack,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233,chilton,2053258100,acute care hospitals,,,hexrt attxck,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_scip-inf-2
1xx29,callahan eye foundation hospital,1720 university blvd,,,birminghxm,,35233,,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,al_scip-inf-3
10018,,1720 university blvd,,,birmingham,al,35233,jefferson,,,voluntary non-profit - private,,surgical infection prevention,scip-inf-4,pneumonia patients given the most appropriate initial antibiotic(s),,,
10086,callahan eye foundation hospital,1720 university blvd,,,,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,,,,
10018,,1720 university blvd,,,birmingham,al,35233,jefferson,,acute care hospitals,,yes,surgical infection prevention,scip-inf-3,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,al_scip-vte-1
10018,callahan eye foundation hospital,,,,florence,,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,xo,surgical infection prevention,scip-vte-2,hearx failure paxienxs given smoking cessaxion advice/counseling,,,al_scip-vte-2
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,,jefferson,2563864556,acute care hospitals,,,heart attack,ami-1,,97%,33 patients,al_ami-1
,,1007 goodyear avenue,,,,al,35660,,2563864556,acute care hospitals,government - hospital district or authority,,heart attack,ami-2,heart attack patients given aspirin at discharge,,,
