ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,,,,,birmingham,,35233.0,,2053258100.0,,,no,surgical infection prevention,scip-vte-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,
10018,,1720 university blvd,,,birmingham,,35233.0,jefferson,,acute care hospitals,,yes,surgical infection prevention,scip-inf-1,,,261 patients,al_scip-inf-1
10019,eliza coffee memorial hospital,1300 south montgomery avenue,,,sheffield,,35660.0,elmore,2563864556.0,acute care hospitals,,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,270 patients,al_ami-3
10007,mizell memorial hospital,702 n main st,,,opp,ak,36467.0,covington,3344933541.0,,,no,,ami-8a,,,,al_ami-8a
10007,mizell memorial hospital,702 n main st,,,opp,al,,covington,,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-1,heart failure patients given discharge instructions,99%,59 patients,al_hf-1
10007,mizell memorial hospital,124 s memorial dr,,,opp,al,,morgan,3344933541.0,acute care hospitals,voluntary non-profit - private,,,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,87%,76 patients,
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,,hf-3,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),64%,14 patients,al_hf-3
10007,decatur general hospital,150 gilbreath drive,,,opp,al,36617.0,covington,3344933541.0,,voluntary non-profit - private,no,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,57 patients,al_hf-4
10007,mizell memorial hospital,,,,opp,al,36467.0,,2563572111.0,acute care hospitals,,no,,,pneumonia patients assessed and given pneumococcal vaccination,75%,85 patients,al_pn-2
10007,,702 n main st,,,,ak,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,86%,64 patients,
10007,cherokee medical center,702 n main st,,,opp,al,36467.0,covington,3343470584.0,acute care hospitals,,no,,cac-1,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,0%,28 patients,al_pn-4
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,crenshaw,,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,,
