ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233.0,jefferson,2053258100.0,,voluntary non-profit - private,yes,surgical infection prevention,,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,
10018,callahan eye foundation hospital,,,,,al,35233.0,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,al_scip-inf-1
10019,helen keller memorial hospital,,,,,al,35233.0,crenshaw,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
10007,mizell memorial hospital,702 n main st,,,opp,,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,,scip-inf-3,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,marshall,3344933541.0,acute care hospitals,,no,heart failure,scip-inf-6,heart failure patients given discharge instructions,98%,59 patients,al_hf-1
10007,mizell memorial hospital,301 east 18th st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,32%,76 patients,al_hf-2
10007,mizell memorial hospital,600 south third street,,,opp,al,36467.0,covington,3344933541.0,,voluntary non-profit - private,no,heart failure,hf-3,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,64%,14 patients,al_hf-3
10007,mizell memorial hospital,1256 military street south,,,opp,al,36801.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,,hf-4,heart failure patients given smoking cessation advice/counseling,100%,8 patients,al_hf-4
10007,mizell memorial hospital,702 n main st,,,hamilton,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-2,,87%,85 patients,al_pn-2
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,ak_scip-inf-6
10007,mizell memorial hospital,702 n main st,,,,ak,36467.0,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,,28 patients,al_pn-4
10007,mizell memorial hospital,702 n main st,,,,al,36467.0,covington,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,87 patients,al_pn-5c
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,57 patients,al_hf-2
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660.0,,2567688400.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,morgan,3344933541.0,acute care hospitals,,,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,90%,63 patients,al_pn-7
10007,,702 n main st,,,opp,al,35007.0,covington,3344933541.0,acute care hospitals,,,surgical infection prevention,scip-card-2,,91%,11 patients,
10007,mizell memorial hospital,702 n main st,,,opp,ak,36467.0,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,101 patients,al_scip-inf-1
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-2,,91%,195 patients,al_scip-inf-2
10007,,702 n main st,,,,al,36467.0,covington,,acute care hospitals,,no,surgical infection prevention,scip-inf-3,,93%,100 patients,ak_hf-1
10007,mizell memorial hospital,702 n main st,,,,al,36467.0,covington,3344933541.0,acute care hospitals,,no,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,al_scip-inf-4
10007,mizell memorial hospital,702 n main st,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,123 patients,al_scip-inf-6
10007,mizell memorial hospital,,,,opp,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,87%,,al_scip-vte-1
10007,mizell memorial hospital,,,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,88%,227 patients,
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,,lauderdale,,acute care hospitals,government - federal,yes,pneumonia,ami-1,heart attack patients given aspirin at arrival,0%,1 patients,al_ami-1
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,14 patients,al_ami-5
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,,crenshaw,2562358900.0,acute care hospitals,government - federal,yes,,ami-2,heart attack patients given aspirin at discharge,100%,1 patients,al_ami-2
10008,wedowee hospital,101 hospital circle,,,luverne,ak,36049.0,dale,3343353374.0,acute care hospitals,government - federal,yes,,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,0 patients,al_ami-3
10008,st vincents blount,,,,luverne,al,,crenshaw,3342882100.0,acute care hospitals,government - federal,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,93%,0 patients,al_ami-4
10008,crenshaw community hospital,101 hospital circle,,,luverne,,36049.0,,3343353374.0,acute care hospitals,,yes,heart attack,,heart attack patients given beta blocker at discharge,,1 patients,al_ami-5
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,,crenshaw,3347935000.0,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0%,0 patients,
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,voluntary non-profit - private,yes,,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
10008,crenshaw community hospital,101 hospital circle,,,alabaster,al,,dale,3343353374.0,acute care hospitals,government - federal,yes,heart failure,,heart failure patients given discharge instructions,4%,26 patients,al_hf-1
10008,crenshaw community hospital,101 hospital circle,,,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,72%,39 patients,al_hf-2
10008,crenshaw community hospital,,,,luverne,al,36049.0,,3343353374.0,acute care hospitals,government - federal,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,8 patients,al_hf-3
10008,crenshaw community hospital,101 hospital circle,,,anniston,,36049.0,crenshaw,3343353374.0,acute care hospitals,voluntary non-profit - other,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0%,5 patients,al_hf-4
10019,,,,,,al,35660.0,jefferson,,acute care hospitals,,no,,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,,
10008,,101 hospital circle,,,,al,36049.0,crenshaw,3343353374.0,,government - federal,yes,pneumonia,,pneumonia patients assessed and given pneumococcal vaccination,25%,39 patients,al_pn-2
