LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"d $350,000-1 million",SPECIALTY ELECTRIC COMPANY LLC,117B MAIN ST,DICKSON,TN,37055,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,58,04/29/2020,Pinnacle Bank,TN-07
"d $350,000-1 million","OLINSKY & ASSOCIATES, PLLC",250 S Clinton St ste 210,SYRACUSE,NY,13202,541110,Corporation,White,Male Owned,Non-Veteran,,40,04/07/2020,Pathfinder Bank,NY-24
"e $150,000-350,000","PREMIUM OCEANIC, INC.",445 S San Antonio Rd. Ste 105,Los Altos,CA,94022,112519,Corporation,Unanswered,Unanswered,Unanswered,,7,04/29/2020,Customers Bank,CA-18
"d $350,000-1 million",TELLO &AMP; ASSOCIATES CORP. DBA FAMILIAS FIRST,222 E  LAS TUNAS DR,SAN GABRIEL,CA,91776,,Corporation,Unanswered,Female Owned,Non-Veteran,,13,05/01/2020,"JPMorgan Chase Bank, National Association",CA-27
"e $150,000-350,000","CBS STAFFING, LLC",7517 Douglas Ave #17,URBANDALE,IA,50322,621999,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,75,04/29/2020,Great Southern Bank,IA-03
"d $350,000-1 million","CYPRESS STAFFING SERVICES, L.L.C.",5020 E SHEA BLVD STE 250,SCOTTSDALE,AZ,85254,561320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,05/01/2020,"JPMorgan Chase Bank, National Association",AZ-06
"e $150,000-350,000",DOOR N GUTTER PRO INC,3819 GORDON JOHN DR,MOBILE,AL,36693,238170,Corporation,Unanswered,Male Owned,Non-Veteran,,28,04/08/2020,BankPlus,AL-01
"d $350,000-1 million","NEEDHAM PEDIATRICS, P.C.","145 ROSEMARY STREET, ENTRY K",NEEDHAM HEIGHTS,MA,02494,621111,Corporation,Unanswered,Female Owned,Unanswered,,,04/07/2020,Century Bank and Trust Company,MA-04
"e $150,000-350,000","SOCATI AGRISCIENCE, LLC",32918 S Orchard Ln,Woodburn,OR,97071,541715,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/30/2020,Celtic Bank Corporation,OR-05
c $1-2 million,MAYBROOK C VALLEY VIEW OPCO,301 VALLEY VIEW BLVD,ALTOONA,PA,16602,623110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,247,04/09/2020,Congressional Bank,PA-13
"d $350,000-1 million","FYI SYSTEMS, INC.","6 Century Drive, Suite 130",Parsippany-Troy Hills,NJ,07054,541990,Corporation,Unanswered,Unanswered,Unanswered,,60,04/27/2020,Peapack-Gladstone Bank,NJ-11
"e $150,000-350,000",WELLNESS AND AESTHETICS INSTITUTE PA,2260 POOL RD,GRAPEVINE,TX,76051,621111,Corporation,White,Male Owned,Non-Veteran,,14,04/13/2020,"Dallas Capital Bank, National Association",TX-24
"e $150,000-350,000","LEIBOVIC LAW GROUP, LLP",21540 Plummer St Ste B,Chatsworth,CA,91311,541110,Limited Liability Partnership,Unanswered,Unanswered,Non-Veteran,,10,04/14/2020,First Republic Bank,CA-30
"e $150,000-350,000",KLIEWER PACKING,41389 RD 44B,REEDLEY,CA,93654,115114,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,106,04/28/2020,Mechanics Bank,CA-21
"e $150,000-350,000",ARKANSAS BEST INSURANCE CORP,911 W. GRAND AVE,HOT SPRINGS NATIONAL PARK,AR,71913,524210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,04/08/2020,Arvest Bank,AR-04
"e $150,000-350,000",WIRTCO INC.,1091 S SAINT FRANCIS DR,SANTA FE,NM,87505,812320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,44,04/11/2020,"Sunflower Bank, National Association",NM-03
"e $150,000-350,000","BOARD OF TRUSTEES OF PORTER MEMORIAL BAPTIST CHURCH, OF LEXI",4300 NICHOLASVILLE RD,LEXINGTON,KY,40515,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,18,04/06/2020,Central Bank & Trust Co.,KY-06
"d $350,000-1 million","REDBURN COMPANIES, LLC",172 River Street,TROY,NY,12180,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/14/2020,KeyBank National Association,NY-20
"e $150,000-350,000",GPTURNER INC,6103 HILLSIDE RD #200,AMARILLO,TX,79109,236220,Corporation,White,Male Owned,Unanswered,,46,04/06/2020,Amarillo National Bank,TX-13
"e $150,000-350,000","SOUTHLAKE PEDIATRICS, INC.",5000 Southlake Park,Birmingham,AL,35244,621111,Partnership,Unanswered,Unanswered,Unanswered,,15,04/16/2020,Regions Bank,AL-06
"d $350,000-1 million",DMD FABRICATION & SERVICES INC,360 O Street,Greeley,CO,80631,238990,Corporation,Unanswered,Unanswered,Unanswered,,35,04/27/2020,Western States Bank,CO-04
c $1-2 million,"HUFFINES DODGE PLANO, L.P.",4500 W. Plano Parkway 0.0,Plano,TX,75093,441110,Partnership,Unanswered,Unanswered,Unanswered,,116,04/09/2020,"JPMorgan Chase Bank, National Association",TX-03
"e $150,000-350,000",SL DC LLC,1316 9th Street,Washington,DC,20001,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,24,04/28/2020,FVCbank,DC-00
"d $350,000-1 million",ACCU-SPAN TRUSS CO,1891 HIGH STREET,LONGWOOD,FL,32750,238160,Corporation,Unanswered,Unanswered,Unanswered,,90,04/13/2020,First Horizon Bank,FL-07
"d $350,000-1 million",B & F MECHANICAL LLC,2322 HIERS CORNER RD,WALTERBORO,SC,29488,238220,Corporation,Unanswered,Unanswered,Unanswered,,34,04/15/2020,Palmetto State Bank,SC-06
"e $150,000-350,000","5 STAR STAFFING SOLUTIONS, LLC",27440 CASHFORD CIR,WESLEY CHAPEL,FL,33544,561320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,45,04/05/2020,ServisFirst Bank,FL-12
c $1-2 million,HDP ENTERPRISES INC,2237 S. MCDOWELL BOULEVARD EXT,PETALUMA,CA,94954,424490,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,68,04/11/2020,Comerica Bank,CA-05
c $1-2 million,"ROYAL OAK MILLWORK COMPANY, LLC",226 E Hudson Ave,Royal Oak,MI,48067,337212,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,52,04/27/2020,First State Bank,MI-09
"e $150,000-350,000","CWWYNN, LLC",2404 NEW HOPE SPUR,CEDAR PARK,TX,78613,561622,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/08/2020,Frost Bank,TX-31
"d $350,000-1 million","DEBURRING HOUSE, INC.",230 Berlin Street,EAST BERLIN,CT,06023,332710,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,60,04/11/2020,"Webster Bank, National Association",CT-01
a $5-10 million,"STONEFIRE GRILL, INC.",30401 AGOURA RD,AGOURA HILLS,CA,91301,722513,Corporation,Unanswered,Unanswered,Unanswered,,500,04/07/2020,Regions Bank,CA-33
c $1-2 million,"ACTOR'S THEATRE OF LOUISVILLE, INC.",316 WEST MAIN ST,LOUISVILLE,KY,40202,711110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,80,04/15/2020,Fifth Third Bank,KY-03
"e $150,000-350,000",CAMPBELL RV INC,617 CATTLEMEN RD,SARASOTA,FL,34232,441120,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,21,04/11/2020,"South State Bank, National Association",FL-16
